user_id,age,employment_type,monthly_income,credit_score,purchase_amount,product_category,bnpl_installments,repayment_delay_days,missed_payments,default_flag,app_usage_frequency,location,transaction_date,debt_to_income_ratio,risk_score,customer_segment
1,56,Salaried,68529.5,552,5000.0,Electronics,12,13,1,0,8.49,Australia,2023-06-10,0.0729612794489964,165.2,Medium Risk
2,19,Student,7247.85,300,1073.23,Fashion,12,13,1,0,3.09,USA,2024-10-07,0.1480756362231558,266.0,High Risk
3,20,Self-Employed,41582.26,471,5000.0,Electronics,3,19,2,0,3.33,Australia,2023-04-05,0.1202435846440284,229.6,High Risk
4,21,Salaried,14423.46,300,4076.83,Sports,6,18,5,1,5.86,Germany,2023-06-24,0.2826527060774599,356.0,High Risk
5,43,Salaried,42845.5,512,5000.0,Electronics,9,0,0,0,7.36,India,2024-10-19,0.1166983697237749,135.20000000000002,High Risk
6,52,Self-Employed,79950.32,729,5000.0,Fashion,9,1,0,0,6.32,Canada,2024-08-29,0.0625388366175394,50.400000000000006,Low Risk
7,44,Salaried,43192.27,511,5000.0,Sports,3,2,0,0,5.58,USA,2024-08-21,0.1157614545380458,139.6,High Risk
8,54,Unemployed,9434.8,369,1686.24,Fashion,3,0,0,1,3.66,Germany,2024-11-17,0.1787255691694577,192.4,High Risk
9,45,Student,14821.44,306,3628.68,Electronics,9,20,2,1,2.48,USA,2024-11-14,0.2448264136278256,297.6,High Risk
10,54,Unemployed,6737.92,318,100.0,Home,6,4,0,0,9.66,UK,2023-06-09,0.0148413753799392,220.8,High Risk
11,19,Self-Employed,46828.63,571,4028.58,Fashion,6,2,0,0,3.18,UK,2023-05-11,0.0860281413314888,115.6,Medium Risk
12,28,Salaried,39976.3,481,5000.0,Electronics,12,15,2,0,1.37,Germany,2024-11-03,0.1250741064080467,217.6,High Risk
13,53,Salaried,71683.56,630,5000.0,Home,6,0,0,0,7.26,UK,2024-07-11,0.0697510000898393,88.0,Medium Risk
14,33,Student,13389.69,372,1124.65,Electronics,12,4,0,0,8.62,Australia,2024-10-30,0.0839937295038197,199.2,High Risk
15,50,Unemployed,13114.82,370,1540.62,Sports,3,4,0,0,1.16,India,2023-06-27,0.1174716847047843,200.0,High Risk
16,37,Unemployed,15372.67,380,1571.31,Electronics,6,15,1,0,4.54,Canada,2024-07-10,0.1022145144597522,238.0,High Risk
17,44,Student,6381.74,385,1884.67,Sports,6,11,1,0,4.33,UK,2024-08-10,0.2953222788769207,228.0,High Risk
18,54,Self-Employed,61140.91,599,5000.0,Electronics,9,9,1,0,8.6,India,2023-05-12,0.0817783052296735,138.4,Medium Risk
19,57,Self-Employed,47350.52,550,5000.0,Home,12,0,0,0,9.22,India,2023-05-22,0.1055954612536462,120.0,High Risk
20,53,Self-Employed,94896.04,764,5000.0,Electronics,6,10,1,0,3.95,Germany,2024-09-26,0.0526892376120225,74.4,Low Risk
21,39,Student,12927.34,300,4297.94,Beauty,9,14,2,0,2.25,Australia,2024-11-07,0.3324690152807925,288.0,High Risk
22,30,Student,11742.0,345,5000.0,Fashion,6,0,0,0,2.41,UK,2023-06-14,0.4258218361437574,202.0,High Risk
23,49,Student,28592.73,307,5000.0,Fashion,6,22,3,0,1.83,Australia,2023-02-12,0.1748696259503727,321.20000000000005,High Risk
24,47,Student,13753.98,336,3605.12,Electronics,6,5,1,0,9.54,Canada,2024-12-21,0.262114675170387,235.6,High Risk
25,51,Self-Employed,81933.0,607,5000.0,Sports,9,12,4,1,9.47,Australia,2023-05-12,0.0610254720320261,201.2,Medium Risk
26,18,Self-Employed,39086.29,450,5000.0,Fashion,3,16,1,0,4.14,Germany,2023-01-15,0.127922092375613,212.0,High Risk
27,46,Unemployed,9571.78,366,3629.56,Home,9,10,1,0,9.38,Australia,2023-02-22,0.3791938385545844,233.6,High Risk
28,29,Self-Employed,51841.69,477,5000.0,Home,3,20,3,0,8.62,India,2024-07-09,0.0964474730665609,249.2,High Risk
29,24,Self-Employed,5000.0,331,896.45,Electronics,12,0,0,1,8.11,UK,2024-12-12,0.17929,207.6,High Risk
30,59,Unemployed,20705.6,376,4641.86,Home,6,5,1,1,1.73,India,2024-10-17,0.224183795688123,219.6,High Risk
31,55,Self-Employed,104642.67,832,5000.0,Sports,9,3,0,0,3.28,Australia,2024-08-01,0.0477816554183871,13.2,Low Risk
32,45,Student,17040.37,341,3708.18,Fashion,3,1,2,0,3.01,Australia,2024-11-17,0.2176114720513697,245.6,High Risk
33,49,Unemployed,14875.65,330,3221.66,Beauty,9,7,1,1,3.53,Australia,2024-08-19,0.2165727211920151,242.0,High Risk
34,33,Self-Employed,9556.27,371,100.0,Fashion,12,0,0,0,4.24,UK,2024-08-15,0.0104643338875942,191.6,High Risk
35,44,Self-Employed,58154.31,521,5000.0,Fashion,3,17,1,1,4.39,Australia,2023-06-22,0.0859781502007332,185.6,High Risk
36,42,Unemployed,15184.95,357,5000.0,Sports,6,2,0,1,9.22,Germany,2023-03-08,0.3292733924049799,201.2,High Risk
37,54,Unemployed,15901.71,354,2537.33,Home,6,2,0,1,4.22,USA,2023-01-18,0.1595633425587562,202.4,High Risk
38,56,Self-Employed,74756.68,660,5000.0,Sports,9,18,2,0,4.78,Germany,2024-08-14,0.0668836550793855,152.0,Medium Risk
39,38,Salaried,53501.99,485,5000.0,Electronics,6,5,3,1,6.6,India,2023-02-08,0.0934544677683951,216.0,High Risk
40,34,Student,54372.3,461,5000.0,Fashion,3,17,2,0,5.14,Australia,2023-04-29,0.0919585892081078,229.6,High Risk
41,48,Unemployed,8097.81,324,2447.64,Sports,6,5,1,1,3.51,India,2023-05-18,0.3022594997906841,240.4,High Risk
42,39,Unemployed,5000.0,300,1885.94,Beauty,6,18,1,0,2.41,Canada,2023-02-11,0.377188,276.0,High Risk
43,34,Unemployed,7518.55,329,100.0,Sports,3,0,0,0,1.56,UK,2024-09-25,0.0133004369193528,208.4,High Risk
44,24,Salaried,39945.89,496,5000.0,Electronics,3,14,1,0,2.9,Australia,2024-11-25,0.1251693228014196,189.6,High Risk
45,42,Student,19309.34,437,5000.0,Home,3,9,1,0,4.04,India,2024-10-02,0.2589420456628761,203.2,High Risk
46,43,Student,27492.23,406,5000.0,Beauty,6,5,1,0,2.68,USA,2023-05-17,0.1818695682380076,207.6,High Risk
47,47,Unemployed,8011.44,351,2301.4,Electronics,12,2,0,0,7.51,Australia,2023-01-28,0.2872642121765875,203.6,High Risk
48,19,Student,11457.52,334,2125.5,Sports,3,0,0,0,5.77,USA,2023-03-30,0.1855113497510805,206.4,High Risk
49,43,Salaried,73756.54,616,5000.0,Home,6,6,0,0,3.9,Australia,2024-11-21,0.0677905986370835,105.6,Medium Risk
50,37,Self-Employed,70596.08,666,5000.0,Fashion,12,10,1,0,4.68,UK,2024-11-14,0.0708254622636271,113.6,Medium Risk
51,51,Self-Employed,74729.51,634,5000.0,Sports,12,14,1,0,3.85,Canada,2023-02-17,0.0669079724997527,134.4,Medium Risk
52,42,Salaried,94326.34,750,5000.0,Sports,9,4,1,0,4.46,UK,2023-05-26,0.0530074632387941,68.0,Low Risk
53,57,Unemployed,5000.0,300,2290.8,Electronics,3,16,2,1,3.81,India,2023-06-15,0.45816,292.0,High Risk
54,21,Student,16040.61,375,5000.0,Home,9,9,1,0,4.68,USA,2024-10-09,0.311708843990347,228.0,High Risk
55,19,Salaried,52914.72,462,4347.97,Fashion,12,20,3,1,5.55,Canada,2024-12-10,0.0821693850028876,255.2,High Risk
56,57,Salaried,70624.94,666,5000.0,Electronics,3,4,0,0,1.94,Australia,2023-06-07,0.0707965203227075,81.60000000000001,Medium Risk
57,39,Unemployed,8018.44,308,1528.15,Electronics,6,0,0,1,8.23,Canada,2024-12-04,0.1905794643347085,216.8,High Risk
58,43,Self-Employed,91756.09,760,5000.0,Fashion,9,0,0,0,1.3,Australia,2024-07-23,0.054492295824724,36.0,Low Risk
59,41,Unemployed,13330.47,369,1030.38,Sports,6,1,0,0,1.77,USA,2024-09-23,0.0772950991225365,194.4,High Risk
60,57,Student,20576.69,402,5000.0,Sports,3,2,0,0,4.4,Canada,2024-11-07,0.2429934066169048,183.2,High Risk
61,57,Unemployed,15364.52,394,4568.05,Fashion,9,10,1,0,4.36,Canada,2024-10-20,0.2973115984098429,222.4,High Risk
62,50,Self-Employed,89320.13,712,5000.0,Home,3,1,0,0,6.01,Germany,2024-07-10,0.0559784227810684,57.2,Low Risk
63,51,Student,25498.83,434,4911.17,Beauty,9,3,0,0,6.25,Canada,2024-09-24,0.1926037390735182,172.4,High Risk
64,35,Unemployed,5034.0,300,543.35,Electronics,6,5,0,0,8.75,USA,2023-04-10,0.1079360349622566,230.0,Medium Risk
65,39,Self-Employed,60771.03,642,100.0,Electronics,3,16,1,0,2.25,UK,2024-08-08,0.0016455209003368,135.2,Medium Risk
66,21,Salaried,47089.97,514,5000.0,Sports,3,1,2,1,1.1,Canada,2023-03-04,0.1061797236226737,176.4,High Risk
67,48,Self-Employed,96344.88,776,5000.0,Sports,12,2,0,0,9.63,USA,2024-09-19,0.0518968937425631,33.6,Low Risk
68,53,Salaried,81736.66,661,3006.44,Electronics,9,13,2,0,6.36,Australia,2023-04-28,0.0367820265716754,141.60000000000002,Medium Risk
69,51,Salaried,37175.61,427,5000.0,Fashion,3,16,1,1,9.55,India,2023-05-24,0.1344967843163838,221.2,High Risk
70,29,Salaried,51794.09,487,3678.27,Home,3,15,3,1,7.03,India,2023-06-16,0.0710171758978678,235.2,High Risk
71,27,Self-Employed,52770.79,527,5000.0,Home,9,15,1,0,3.87,Australia,2024-12-18,0.0947493869240919,179.20000000000002,High Risk
72,34,Unemployed,5000.0,347,2583.13,Fashion,12,4,2,1,8.12,Canada,2024-09-02,0.516626,249.2,High Risk
73,50,Self-Employed,97571.53,682,5000.0,Sports,9,27,3,1,4.58,Canada,2023-04-06,0.0512444562466121,181.2,Medium Risk
74,37,Unemployed,6509.48,308,972.38,Fashion,3,0,0,0,9.19,Germany,2023-01-17,0.1493790594640432,216.8,High Risk
75,32,Unemployed,6006.58,305,3262.57,Fashion,6,6,2,0,1.33,India,2024-07-15,0.5431659946258937,270.0,High Risk
76,23,Salaried,47538.91,462,5000.0,Beauty,3,3,1,0,2.39,UK,2024-10-22,0.1051770013237577,181.2,High Risk
77,52,Unemployed,8622.62,302,3341.87,Beauty,9,14,1,0,3.53,Germany,2024-11-27,0.3875701352953046,267.20000000000005,High Risk
78,32,Salaried,40535.12,443,5000.0,Electronics,12,17,2,1,6.93,India,2023-04-12,0.1233498260274053,236.8,High Risk
79,58,Unemployed,8435.93,300,2337.84,Home,3,11,3,0,6.55,India,2024-12-08,0.2771288998367696,302.0,High Risk
80,58,Self-Employed,87491.62,772,5000.0,Fashion,9,19,1,1,4.53,USA,2023-04-30,0.0571483303200923,89.2,Low Risk
81,47,Unemployed,15248.5,368,5000.0,Fashion,6,8,1,0,8.84,Germany,2024-09-20,0.3279011050267239,228.8,High Risk
82,46,Self-Employed,31077.92,496,5000.0,Home,9,4,0,1,7.15,Germany,2023-03-05,0.1608859280157745,149.6,High Risk
83,51,Self-Employed,59950.7,577,5000.0,Electronics,12,5,1,0,1.28,Germany,2023-03-10,0.0834018618631642,139.2,Medium Risk
84,33,Salaried,73238.14,571,5000.0,Electronics,12,17,2,0,5.26,Australia,2023-01-18,0.0682704394185871,185.6,Medium Risk
85,42,Salaried,70255.81,628,5000.0,Electronics,12,8,2,0,3.23,USA,2023-03-22,0.0711684912607227,144.8,Medium Risk
